Player,Span,Matches,Innings,Overs,Mdns,Runs,Wickets,BBI,Average,Economy,SR,4,5,Column 12
JH Kallis (SA),2005-2012,25,19,46.0,1,333,12,4/15,27.75,7.23,23.0,1,0,
A Kheterpal (HUN),2021-2023,18,18,61.0,0,463,12,3/19,38.58,7.59,30.5,0,0,
S Kushretha (LUX),2020-2022,9,9,32.0,0,195,12,3/20,16.25,6.09,16.0,0,0,
IDM Latin (GIBR),2022-2023,17,9,24.5,0,238,12,4/25,19.83,9.58,12.4,1,0,
T Lungameni (NAM),2019-2022,15,15,42.0,2,297,12,3/30,24.75,7.07,21.0,0,0,
W Madhevere (ZIM),2020-2023,47,27,51.0,0,360,12,2/8,30.00,7.05,25.5,0,0,
N Madziva (ZIM),2015-2019,15,15,46.5,0,417,12,4/34,34.75,8.90,23.4,1,0,
D Madushanka (SL),2022-2023,11,11,36.0,0,353,12,3/24,29.41,9.80,18.0,0,0,
R Mangal (Fran),2022-2023,12,12,26.1,0,236,12,3/2,19.66,9.01,13.0,0,0,
AD Mascarenhas (ENG),2007-2009,14,14,42.0,0,309,12,3/18,25.75,7.35,21.0,0,0,
BMAJ Mendis (SL),2011-2018,22,14,35.0,0,249,12,3/24,20.75,7.11,17.5,0,0,
TS Mills (ENG/ICC),2016-2022,13,13,44.4,1,374,12,3/27,31.16,8.37,22.3,0,0,
Y Mitari (RWN),2021-2022,19,18,45.1,1,333,12,3/39,27.75,7.37,22.5,0,0,
Muhammad Kashif (KUW),2019-2022,21,12,32.0,1,271,12,3/30,22.58,8.46,16.0,0,0,
J Mulder (IRE),2016-2017,8,8,29.0,0,192,12,4/16,16.00,6.62,14.5,1,0,
JD Nel (SCOT),2007-2010,10,9,31.0,3,169,12,3/10,14.08,5.45,15.5,0,0,
I Ntirenganya (RWN),2022-2023,20,20,55.4,0,406,12,2/21,33.83,7.29,27.8,0,0,
Pramod Madushan (SL),2022-2023,8,8,26.1,0,226,12,4/34,18.83,8.63,13.0,1,0,
Rafiullah (OMA),2022-2023,13,11,30.0,0,287,12,4/25,23.91,9.56,15.0,1,0,
Sajad Ahmadzai (Belg),2022-2023,8,8,26.3,0,167,12,3/22,13.91,6.30,13.2,0,0,
Sajid Liaqat (GER),2019-2022,6,6,23.4,0,197,12,3/24,16.41,8.32,11.8,0,0,
KD Shah (HKG),2014-2023,49,26,66.0,2,495,12,2/9,41.25,7.50,33.0,0,0,
M Shahbaz Butt (NOR),2022-2023,10,9,31.0,2,169,12,5/8,14.08,5.45,15.5,0,1,
MWR Stokes (GUE),2019-2023,26,15,43.0,3,311,12,2/11,25.91,7.23,21.5,0,0,
SO Tikolo (KENYA),2007-2013,15,10,28.2,0,168,12,4/2,14.00,5.92,14.1,1,0,
R Trumpelmann (NAM),2021-2022,19,16,54.1,3,359,12,3/17,29.91,6.62,27.0,0,0,
Usman Najeeb (KSA),2022-2023,9,9,33.4,0,274,12,3/22,22.83,8.13,16.8,0,0,
S Vijayakumar (SGP),2019-2019,9,9,28.0,1,204,12,4/25,17.00,7.28,14.0,1,0,
Vinay Ravi (NOR),2021-2023,19,19,57.2,2,340,12,2/10,28.33,5.93,28.6,0,0,
UT Yadav (IND),2012-2022,9,9,30.0,0,280,12,2/19,23.33,9.33,15.0,0,0,
Zain Ahmad (Fran),2022-2023,11,9,24.0,0,149,12,4/20,12.41,6.20,12.0,1,0,
Zulfiqar Babar (PAK),2013-2014,7,7,26.0,1,185,12,3/23,15.41,7.11,13.0,0,0,
Abdur Rehman (PAK),2007-2013,8,8,26.0,0,192,11,2/7,17.45,7.38,14.1,0,0,
JB Abega (CAM),2021-2022,14,14,41.5,0,365,11,4/18,33.18,8.72,22.8,1,0,
Aftab Alam (AFG),2012-2018,12,12,40.5,0,324,11,2/23,29.45,7.93,22.2,0,0,
Ahmed Baladraf (KSA),2023-2023,9,9,28.0,0,190,11,3/14,17.27,6.78,15.2,0,0,
Anas Khan (HKG),2014-2023,8,7,25.4,0,136,11,3/29,12.36,5.29,14.0,0,0,
Asif Bevinje (ROM),2020-2023,7,7,25.0,0,193,11,5/30,17.54,7.72,13.6,0,1,
Azmatullah Omarzai (AFG),2022-2023,24,22,52.3,0,455,11,3/22,41.36,8.66,28.6,0,0,
R Baaleri (GHA),2021-2022,11,8,23.4,1,154,11,5/29,14.00,6.50,12.9,1,1,
Z Burgess (BER),2021-2023,13,13,40.0,0,238,11,2/12,21.63,5.95,21.8,0,0,
P Cabebula (Fiji),2022-2023,10,10,35.4,0,258,11,4/14,23.45,7.23,19.4,1,0,
H Gori (CZK-R),2019-2020,11,11,35.0,0,218,11,3/13,19.81,6.22,19.0,0,0,
CN Greaves (SCOT),2021-2023,20,16,43.0,0,327,11,2/2,29.72,7.60,23.4,0,0,
Hassan Mehmood (SWE),2021-2021,5,5,16.0,1,115,11,5/14,10.45,7.18,8.7,0,1,
R Hekure (PNG),2019-2023,24,22,53.5,0,401,11,2/22,36.45,7.44,29.3,0,0,
A Husain (Arg),2019-2023,15,13,36.0,1,191,11,3/8,17.36,5.30,19.6,0,0,
Irfan Ahmed (HKG),2014-2015,8,8,27.0,0,190,11,3/11,17.27,7.03,14.7,0,0,
G Kansonkho (MWI),2019-2023,24,12,24.5,0,201,11,2/6,18.27,8.09,13.5,0,0,
Kashif Daud (UAE),2021-2022,16,15,39.5,0,297,11,4/32,27.00,7.45,21.7,1,0,
RK Kiseto (TAN),2021-2022,13,13,42.0,3,289,11,4/17,26.27,6.88,22.9,1,0,
KDA Lukies (PHI),2023-2023,8,8,30.0,1,174,11,5/10,15.81,5.80,16.3,0,1,
NSK Mehta (Belg),2020-2021,9,9,35.0,0,237,11,2/15,21.54,6.77,19.0,0,0,
A Mene-Ejegi (SRB),2022-2023,12,11,37.4,0,261,11,4/30,23.72,6.92,20.5,1,0,
NO Miller (WI),2009-2014,9,9,31.4,0,224,11,2/20,20.36,7.07,17.2,0,0,
K Mirpuri (GIBR),2023-2023,13,13,44.5,0,305,11,3/16,27.72,6.80,24.4,0,0,
Mohammed Siraj (IND),2017-2022,8,8,32.0,1,294,11,4/17,26.72,9.18,17.4,1,0,
K Motlhanka (BOT),2019-2023,34,10,23.0,1,141,11,4/30,12.81,6.13,12.5,1,0,
Muhamad Syahadat (MAL),2019-2023,24,9,23.0,0,134,11,3/7,12.18,5.82,12.5,0,0,
Muhammad Amir (MAL),2019-2023,29,13,36.1,0,232,11,3/22,21.09,6.41,19.7,0,0,
Muhammad Jabir (QAT),2023-2023,8,8,25.0,0,224,11,4/37,20.36,8.96,13.6,1,0,
Muhammad Tanveer (QAT),2019-2023,43,18,47.3,0,358,11,2/31,32.54,7.53,25.9,0,0,
GE Ngegba (SLE),2022-2023,15,13,47.0,2,252,11,3/16,22.90,5.36,25.6,0,0,
TM Odoyo (KENYA),2007-2013,11,10,36.0,0,170,11,3/17,15.45,4.72,19.6,0,0,
AY Patel (NZ),2018-2021,7,7,26.0,0,118,11,4/16,10.72,4.53,14.1,1,0,
TK Patel (USA),2019-2019,7,6,22.0,0,146,11,4/27,13.27,6.63,12.0,1,0,
C Pengkumta (THAI),2019-2023,15,14,35.1,1,251,11,4/22,22.81,7.13,19.1,1,0,
A Rangaswamy (BOT),2019-2021,8,8,23.4,2,142,11,4/21,12.90,6.00,12.9,1,0,
R Ravindra (NZ),2021-2023,18,13,37.0,0,247,11,3/22,22.45,6.67,20.1,0,0,
J Sebanja (UGA),2021-2023,8,8,27.0,1,201,11,3/17,18.27,7.44,14.7,0,0,
Soumya Sarkar (BAN),2015-2022,72,24,44.0,0,417,11,2/19,37.90,9.47,24.0,0,0,
AL Stephen (VAN),2019-2023,9,9,27.1,1,202,11,3/40,18.36,7.43,14.8,0,0,
F Stoman (PORT),2019-2023,17,8,31.0,1,200,11,3/16,18.18,6.45,16.9,0,0,
MJ Swepson (AUS),2018-2022,8,8,25.0,0,204,11,3/12,18.54,8.16,13.6,0,0,
M Taylor (Bhm),2021-2023,15,11,29.2,0,232,11,3/17,21.09,7.90,16.0,0,0,
BN Toube (CAM),2021-2022,14,12,40.0,0,327,11,3/16,29.72,8.17,21.8,0,0,
Umran Malik (IND),2022-2023,8,8,23.1,0,243,11,3/48,22.09,10.48,12.6,0,0,
TC Vine (ESP),2019-2022,11,10,26.0,0,208,11,4/28,18.90,8.00,14.1,1,0,
Waheed Ahmed (UAE),2019-2020,15,14,37.0,0,257,11,3/21,23.36,6.94,20.1,0,0,
Walter Behr (GER),2022-2022,8,7,22.0,2,124,11,3/12,11.27,5.63,12.0,0,0,
MH Yardy (ENG),2006-2011,14,13,46.0,0,299,11,2/19,27.18,6.50,25.0,0,0,
A Yon (STHEL),2022-2022,7,5,16.0,0,118,11,5/10,10.72,7.37,8.7,1,1,
Abdullah Mahmood (DEN),2019-2023,10,10,27.0,0,170,10,4/12,17.00,6.29,16.2,1,0,
Abdul Majid Malik (BHR),2020-2022,7,7,24.0,0,143,10,4/23,14.30,5.95,14.4,1,0,
Adil Butt (SWZ),2022-2023,10,9,33.0,2,235,10,2/11,23.50,7.12,19.8,0,0,
Adnan Mirza (QAT),2023-2023,9,9,27.0,0,182,10,3/13,18.20,6.74,16.2,0,0,
CM Akachukwu (NGA),2019-2021,15,15,34.2,2,258,10,2/8,25.80,7.51,20.6,0,0,
Ali Yalmaz (HUN),2021-2023,12,9,25.0,1,234,10,3/16,23.40,9.36,15.0,0,0,
Anwar Ali (PAK),2008-2016,16,15,44.1,0,367,10,2/27,36.70,8.30,26.5,0,0,
L Balaji (IND),2012-2012,5,5,16.0,0,121,10,3/19,12.10,7.56,9.6,0,0,
KA Bazil (CAY),2022-2023,8,8,27.0,1,170,10,2/9,17.00,6.29,16.2,0,0,
HK Bennett (NZ),2020-2021,11,11,35.5,0,331,10,3/54,33.10,9.23,21.5,0,0,
K Christie (HKG),2019-2019,11,11,39.0,0,292,10,2/23,29.20,7.48,23.4,0,0,
PC Connell (IRE),2008-2010,9,8,25.3,1,156,10,3/8,15.60,6.11,15.3,0,0,
JC Darji (TAN),2021-2022,8,6,18.5,2,80,10,4/7,8.00,4.24,11.3,2,0,
XJ Doherty (AUS),2012-2013,11,11,38.0,0,300,10,3/20,30.00,7.89,22.8,0,0,
JA Duffy (NZ),2020-2023,10,10,30.0,0,223,10,4/33,22.30,7.43,18.0,1,0,
MR Gillespie (NZ),2006-2008,11,10,35.0,3,255,10,4/7,25.50,7.28,21.0,1,0,
K Gore (USA),2019-2021,8,8,25.0,2,124,10,3/5,12.40,4.96,15.0,0,0,
PD Hennessy (ESP),2019-2021,13,7,17.0,1,118,10,3/27,11.80,6.94,10.2,0,0,
RM Hira (NZ),2012-2013,15,13,42.2,1,337,10,2/42,33.70,7.96,25.4,0,0,
IG Holland (USA),2021-2021,6,6,23.0,3,89,10,2/3,8.90,3.86,13.8,0,0,
JR Hopes (AUS),2005-2010,12,12,37.0,0,283,10,2/26,28.30,7.64,22.2,0,0,
J Hurley (Arg),2019-2021,7,7,26.0,1,144,10,3/13,14.40,5.53,15.6,0,0,
KA Jamieson (NZ),2020-2023,13,13,44.2,0,412,10,3/23,41.20,9.29,26.6,0,0,
N Krishna (SEY),2021-2022,13,11,28.1,0,218,10,2/17,21.80,7.73,16.9,0,0,
K Kubota (JPN),2022-2023,10,10,22.0,0,140,10,3/11,14.00,6.36,13.2,0,0,
BG Lister (NZ),2023-2023,10,10,34.5,0,306,10,3/35,30.60,8.78,20.9,0,0,
A Martel (GUE),2022-2023,7,7,25.2,0,174,10,3/12,17.40,6.86,15.2,0,0,
JF Mooney (IRE),2009-2015,27,10,26.0,1,176,10,2/7,17.60,6.76,15.6,0,0,
JK Mukhiya (NEP),2014-2022,10,10,26.0,0,168,10,3/18,16.80,6.46,15.6,0,0,
A Natubhai Ahir (PAN),2019-2023,16,13,37.3,2,236,10,4/26,23.60,6.29,22.5,1,0,
K Nestor (GIBR),2019-2023,29,16,50.2,0,478,10,3/37,47.80,9.49,30.2,0,0,
E Niyomugabo (RWN),2021-2023,44,14,30.2,0,226,10,3/32,22.60,7.45,18.2,0,0,
PP Ojha (IND),2009-2010,6,6,21.0,0,132,10,4/21,13.20,6.28,12.6,1,0,
Omar Hayat (DEN),2019-2022,8,7,19.0,0,141,10,3/23,14.10,7.42,11.4,0,0,
H Osinde (CAN),2008-2013,11,11,35.0,0,250,10,3/36,25.00,7.14,21.0,0,0,
S Prasanna (SL),2013-2017,20,18,50.0,1,359,10,2/45,35.90,7.18,30.0,0,0,
LN Rajbanshi (NEP),2018-2019,12,12,38.2,0,231,10,3/6,23.10,6.02,23.0,0,0,
SHA Rance (NZ),2017-2019,8,7,27.0,0,245,10,3/26,24.50,9.07,16.2,0,0,
H Rashid (SWZ),2022-2023,15,13,43.5,0,350,10,2/26,35.00,7.98,26.3,0,0,
Raza Hasan (PAK),2012-2014,10,10,38.0,1,219,10,2/14,21.90,5.76,22.8,0,0,
A Reyes (GIBR),2021-2023,18,11,22.3,0,178,10,3/10,17.80,7.91,13.5,0,0,
KAJ Roach (WI),2008-2012,11,11,39.0,1,284,10,2/25,28.40,7.28,23.4,0,0,
SR Rocket (SEY),2021-2022,13,12,37.0,1,270,10,2/23,27.00,7.29,22.2,0,0,
Shahid Mahmood (BHR),2022-2022,13,13,44.0,0,385,10,2/30,38.50,8.75,26.4,0,0,
Shahzeb Choudhry (SWE),2023-2023,5,5,17.2,0,85,10,4/11,8.50,4.90,10.4,1,0,
Sheraz Sheikh (Belg),2021-2023,19,13,29.1,0,223,10,3/22,22.30,7.64,17.5,0,0,
G Stewart (ITA),2021-2023,14,9,34.0,1,185,10,3/29,18.50,5.44,20.4,0,0,
GT Taylor (Bhm),2021-2023,15,10,30.0,0,192,10,3/27,19.20,6.40,18.0,0,0,
T Taylor (CAY),2019-2023,15,13,39.0,0,275,10,3/22,27.50,7.05,23.4,0,0,
R Vinay Kumar (IND),2010-2013,9,9,31.3,0,247,10,3/24,24.70,7.84,18.9,0,0,
Arjun Vinod (SUI),2021-2023,18,17,40.0,1,302,10,3/16,30.20,7.55,24.0,0,0,
Waqar Ali (CYP),2021-2021,4,4,14.5,0,67,10,4/14,6.70,4.51,8.9,1,0,
SM Warnakulasuriya (Fran),2023-2023,8,8,22.0,2,177,10,5/12,17.70,8.04,13.2,0,1,
D Wotu (VAN),2022-2023,10,9,30.0,0,204,10,3/21,20.40,6.80,18.0,0,0,
Yasim Murtaza (HKG),2022-2023,14,14,49.0,0,294,10,3/19,29.40,6.00,29.4,0,0,
M Abdulla (MWI),2019-2021,10,7,26.3,0,164,9,3/25,18.22,6.18,17.6,0,0,
Abdullah Jasat (PAN),2021-2023,10,10,31.0,0,239,9,2/20,26.55,7.70,20.6,0,0,
M Aboagye (GHA),2019-2023,11,9,27.0,0,171,9,3/21,19.00,6.33,18.0,0,0,
RA Abolarin (NGA),2019-2021,10,10,27.4,1,144,9,3/8,16.00,5.20,18.4,0,0,
Abul Farhad (CZK-R),2022-2023,4,4,14.0,1,91,9,4/19,10.11,6.50,9.3,1,0,
Aftab Kayani (ROM),2020-2022,8,7,19.0,0,116,9,2/6,12.88,6.10,12.6,0,0,
Ahmadullah Shinwari (NOR),2021-2022,10,10,29.4,0,167,9,2/9,18.55,5.62,19.7,0,0,
J Albin (BUL),2021-2022,25,18,40.0,0,438,9,2/19,48.66,10.95,26.6,0,0,
Amandeep Singh (PORT),2021-2023,12,10,27.0,0,183,9,3/11,20.33,6.77,18.0,0,0,
Asrar Ahmed (GRC),2019-2021,7,7,24.0,2,180,9,2/4,20.00,7.50,16.0,0,0,
Azam Khalil (SWE),2022-2022,9,9,31.0,1,178,9,3/15,19.77,5.74,20.6,0,0,
Azyan Farhath (MDV),2019-2023,18,5,15.1,0,96,9,4/12,10.66,6.32,10.1,1,0,
JP Behrendorff (AUS),2017-2023,10,9,26.0,0,212,9,4/21,23.55,8.15,17.3,1,0,
A Bhargava (SGP),2022-2023,5,4,13.0,0,74,9,4/19,8.22,5.69,8.6,1,0,
DE Bollinger (AUS),2011-2014,9,9,35.0,0,249,9,1/22,27.66,7.11,23.3,0,0,
TS Braat (NED),2019-2021,6,6,18.0,0,162,9,3/26,18.00,9.00,12.0,0,0,
A Conteh (GAMBI),2022-2022,7,6,19.1,0,123,9,4/10,13.66,6.41,12.7,1,0,
TM Dilshan (SL),2006-2016,80,25,43.0,0,313,9,2/4,34.77,7.27,28.6,0,0,
SDJJ Dima (MOZ),2019-2022,15,8,25.1,0,213,9,3/41,23.66,8.46,16.7,0,0,
Elias Sunny (BAN),2012-2012,7,7,23.0,1,146,9,5/13,16.22,6.34,15.3,0,1,
MGSM Fernando (ITA),2021-2021,6,6,24.0,0,121,9,2/15,13.44,5.04,16.0,0,0,
RJ Gleeson (ENG),2022-2022,6,6,21.0,1,187,9,3/15,20.77,8.90,14.0,0,0,
BW Hilfenhaus (AUS),2007-2012,7,7,26.0,0,161,9,2/15,17.88,6.19,17.3,0,0,
Ikramullah Khan (QAT),2022-2022,7,7,22.0,0,158,9,3/24,17.55,7.18,14.6,0,0,
J Jagroo (Bhm),2021-2022,11,11,33.0,1,226,9,3/24,25.11,6.84,22.0,0,0,
J Jojo (DEN),2019-2022,13,11,36.0,2,216,9,2/7,24.00,6.00,24.0,0,0,
M Kadyan (BUL),2021-2022,12,10,30.0,0,257,9,2/20,28.55,8.56,20.0,0,0,
TE Kane (IRE),2015-2023,9,5,15.2,0,143,9,3/19,15.88,9.32,10.2,0,0,
Khalander Mustafa (KSA),2023-2023,6,6,21.3,0,152,9,3/33,16.88,7.06,14.3,0,0,
B Khumalo (BOT),2019-2023,16,15,35.5,1,251,9,2/20,27.88,7.00,23.8,0,0,
RK Kleinveldt (SA),2008-2013,6,6,20.2,1,173,9,3/18,19.22,8.50,13.5,0,0,
RM Koda (INA),2022-2023,9,9,28.0,1,170,9,3/15,18.88,6.07,18.6,0,0,
E Kubwimana (RWN),2022-2023,17,13,29.3,0,298,9,3/39,33.11,10.10,19.6,0,0,
AK Markram (SA),2019-2023,37,16,33.0,2,262,9,3/21,29.11,7.93,22.0,0,0,
Md Nurul Huda (Fin),2019-2019,5,5,16.3,0,118,9,3/11,13.11,7.15,11.0,0,0,
GP Meade (ITA),2019-2023,27,11,30.2,0,187,9,3/18,20.77,6.16,20.2,0,0,
K Mendon (CZK-R),2019-2021,17,11,27.4,1,232,9,3/19,25.77,8.38,18.4,0,0,
Mohamed Shafeeq (KUW),2022-2023,16,16,53.3,0,426,9,3/28,47.33,7.96,35.6,0,0,
GRD Munasinghe (ITA),2019-2019,8,7,27.0,1,191,9,4/11,21.22,7.07,18.0,1,0,
A Neill (SCOT),2019-2019,5,5,20.0,0,154,9,3/21,17.11,7.70,13.3,0,0,
B Niaz (Belg),2021-2023,10,8,19.4,1,124,9,4/8,13.77,6.30,13.1,1,0,
GM Ntambalika (MWI),2019-2023,22,9,24.0,1,171,9,2/13,19.00,7.12,16.0,0,0,
D Paterson (SA),2017-2018,8,8,29.5,0,265,9,4/32,29.44,8.88,19.8,1,0,
S Pradhan (BHU),2022-2023,11,11,31.0,1,167,9,2/10,18.55,5.38,20.6,0,0,
Qadeer Ahmed (UAE),2015-2019,10,10,32.0,1,253,9,2/18,28.11,7.90,21.3,0,0,
Qais Ahmad (AFG),2020-2023,5,4,13.0,0,73,9,3/16,8.11,5.61,8.6,0,0,
T Ritawa (COK),2022-2022,6,6,14.0,0,109,9,5/19,12.11,7.78,9.3,0,1,
Ritik Tomar (CZK-R),2022-2023,17,15,36.0,0,312,9,2/18,34.66,8.66,24.0,0,0,
Rizwan Cheema (CAN),2008-2019,24,15,50.0,1,382,9,2/19,42.44,7.64,33.3,0,0,
JRMVB Sanjaya (SL),2017-2017,8,8,28.5,1,250,9,2/20,27.77,8.67,19.2,0,0,
K Senamontree (THAI),2019-2023,10,10,25.5,1,178,9,4/19,19.77,6.89,17.2,1,0,
Shaik Basha (TAN),2023-2023,9,7,15.0,0,137,9,3/32,15.22,9.13,10.0,0,0,
L Siaka (PNG),2015-2023,51,8,16.0,0,96,9,3/16,10.66,6.00,10.6,0,0,
D Suzuki (JPN),2022-2023,15,15,37.0,0,231,9,2/14,25.66,6.24,24.6,0,0,
SF Tiai (Samoa),2019-2022,10,10,34.5,1,227,9,2/16,25.22,6.51,23.2,0,0,
NK Tiwari (CYP),2021-2022,11,11,33.5,0,235,9,3/14,26.11,6.94,22.5,0,0,
T Tshose (BOT),2019-2023,26,18,49.1,1,328,9,2/22,36.44,6.67,32.7,0,0,
A Turay (SLE),2022-2023,11,5,15.1,0,104,9,4/29,11.55,6.85,10.1,1,0,
M Ozturk (TKY),2022-2023,8,7,27.0,0,207,9,3/22,23.00,7.66,18.0,0,0,
Vichanath Singh (THAI),2019-2023,15,13,43.3,2,240,9,2/10,26.66,5.51,29.0,0,0,
I Wardlaw (SCOT),2013-2013,4,4,16.0,1,145,9,3/40,16.11,9.06,10.6,0,0,
DKD Warnakulasuriya (ITA),2021-2022,8,8,22.0,0,152,9,3/30,16.88,6.90,14.6,0,0,
CG Williams (NAM),2019-2022,35,13,29.0,1,181,9,3/9,20.11,6.24,19.3,0,0,
Abdullah Rana (SUI),2023-2023,4,4,11.0,0,87,8,3/21,10.87,7.90,8.2,0,0,
Abdul Naser Baluch (SWE),2023-2023,5,5,18.2,1,107,8,2/9,13.37,5.83,13.7,0,0,
Abdul-Shakoor Rahimzei (GER),2019-2023,26,10,23.3,0,152,8,2/10,19.00,6.46,17.6,0,0,
S Adedeji (NGA),2019-2023,35,14,35.0,1,227,8,2/14,28.37,6.48,26.2,0,0,
Aizaz Cheema (PAK),2011-2012,5,5,17.0,0,116,8,4/30,14.50,6.82,12.7,1,0,
Ali Dawood (BHR),2023-2023,7,7,26.4,0,199,8,2/16,24.87,7.46,20.0,0,0,
Ali Hasan (ITA),2022-2022,6,6,20.0,1,83,8,3/9,10.37,4.15,15.0,0,0,
Amir Zaib (PORT),2021-2023,18,8,18.1,2,126,8,2/2,15.75,6.93,13.6,0,0,
M Ansari (OMA),2015-2016,11,10,37.5,0,334,8,3/37,41.75,8.82,28.3,0,0,
Aziz Mohammad (Belg),2019-2023,16,13,36.5,0,275,8,2/15,34.37,7.46,27.6,0,0,
Bakhtiar Tahiri (BUL),2020-2022,14,12,29.0,0,261,8,3/13,32.62,9.00,21.7,0,0,
F Banunaek (INA),2022-2023,8,8,27.0,0,174,8,2/19,21.75,6.44,20.2,0,0,
JR Barry (Bhm),2021-2023,10,9,19.2,2,150,8,3/20,18.75,7.75,14.5,0,0,
OGL Bascome (BER),2019-2021,17,7,16.1,0,132,8,4/10,16.50,8.16,12.1,1,0,
S Bau (PNG),2016-2023,44,20,35.0,2,215,8,2/4,26.87,6.14,26.2,0,0,
S Bhari (NEP),2019-2021,9,9,28.0,0,211,8,2/22,26.37,7.53,21.0,0,0,
U Bhatti (CAN),2008-2010,7,7,23.0,0,148,8,3/23,18.50,6.43,17.2,0,0,
CJ Boyce (AUS),2014-2016,7,7,23.0,0,152,8,2/10,19.00,6.60,17.2,0,0,
MNR Cooray (MDV),2019-2020,7,7,24.2,0,174,8,3/26,21.75,7.15,18.2,0,0,
CD de Lange (SCOT),2015-2017,8,7,27.0,0,171,8,2/17,21.37,6.33,20.2,0,0,
DC Delany (IRE),2019-2019,8,8,28.3,0,222,8,2/12,27.75,7.78,21.3,0,0,
L Denny (COK),2022-2022,6,6,18.5,1,136,8,3/12,17.00,7.22,14.1,0,0,
M Faheem (THAI),2019-2020,7,7,20.0,0,133,8,2/11,16.62,6.65,15.0,0,0,
Faran Afzal (ESP),2019-2019,9,8,29.0,0,143,8,3/11,17.87,4.93,21.7,0,0,
Fawad Alam (PAK),2007-2010,24,6,15.0,0,95,8,3/7,11.87,6.33,11.2,0,0,
Fayaz Khan (GER),2021-2023,9,7,24.0,0,174,8,3/15,21.75,7.25,18.0,0,0,
SP Gauchan (NEP),2014-2015,9,8,30.0,0,169,8,3/9,21.12,5.63,22.5,0,0,
S Godara (CAM),2023-2023,5,5,18.0,2,150,8,3/25,18.75,8.33,13.5,0,0,
Z Groenewald (NAM),2019-2019,10,10,28.0,2,163,8,3/20,20.37,5.82,21.0,0,0,
L Hermida (Mex),2019-2019,5,5,18.0,1,94,8,3/20,11.75,5.22,13.5,0,0,
Inam-ul-Haq (QAT),2019-2019,11,10,31.0,2,211,8,2/23,26.37,6.80,23.2,0,0,
Junaid Khan (PAK),2011-2014,9,9,27.0,0,236,8,3/24,29.50,8.74,20.2,0,0,
P Khadka (NEP),2014-2020,33,26,58.0,2,360,8,2/11,45.00,6.20,43.5,0,0,
VJ Kingma (NED),2016-2021,9,9,30.4,0,302,8,2/44,37.75,9.84,23.0,0,0,
A Kirschbaum (Arg),2021-2023,12,12,41.1,1,306,8,2/14,38.25,7.43,30.8,0,0,
M Kpaka (SLE),2021-2023,17,13,31.0,0,183,8,4/11,22.87,5.90,23.2,1,0,
P Kumar (IND),2008-2012,10,10,26.0,1,193,8,2/14,24.12,7.42,19.5,0,0,
R Kumar (ROM),2019-2023,14,13,35.5,0,337,8,2/25,42.12,9.40,26.8,0,0,
RAS Lakmal (SL),2011-2019,11,11,34.4,0,330,8,2/26,41.25,9.51,26.0,0,0,
AV Lalcheta (OMA),2015-2019,17,15,51.3,3,374,8,1/13,46.75,7.26,38.6,0,0,
A Limdawala (MWI),2022-2023,13,7,15.0,1,135,8,2/8,16.87,9.00,11.2,0,0,
DB Loic (CAM),2021-2022,13,12,35.2,1,261,8,2/24,32.62,7.38,26.5,0,0,
WK McCallan (IRE),2008-2009,9,7,21.5,0,152,8,2/26,19.00,6.96,16.3,0,0,
RP Meredith (AUS),2021-2021,5,5,18.5,0,188,8,3/48,23.50,9.98,14.1,0,0,
DJ Mitchell (NZ),2019-2023,56,10,14.5,0,148,8,2/27,18.50,9.97,11.1,0,0,
Mohammad Ashraful (BAN),2007-2013,23,8,23.0,0,210,8,3/42,26.25,9.13,17.2,0,0,
GC Murtaza (CAM),2023-2023,5,5,18.0,1,134,8,3/20,16.75,7.44,13.5,0,0,
AK Muslar (Blz),2019-2021,9,4,13.0,1,77,8,3/10,9.62,5.92,9.7,0,0,
GM Mwendwa (KENYA),2022-2023,10,10,31.0,1,199,8,3/19,24.87,6.41,23.2,0,0,
A Nao (PNG),2017-2023,10,10,32.0,2,228,8,3/26,28.50,7.12,24.0,0,0,
Nazmul Islam (BAN),2018-2018,13,12,38.3,2,265,8,3/28,33.12,6.88,28.8,0,0,
AR Nurse (WI),2011-2019,13,13,40.0,0,318,8,2/6,39.75,7.95,30.0,0,0,
R Panchal (ESP),2019-2023,22,12,36.0,1,197,8,3/22,24.62,5.47,27.0,0,0,
Rakibul Hasan (ITA),2019-2019,8,7,23.0,2,147,8,2/20,18.37,6.39,17.2,0,0,
S Ravichandran (JPN),2022-2023,12,12,39.3,0,214,8,2/12,26.75,5.41,29.6,0,0,
Rumman Raees (PAK),2016-2018,8,8,28.5,2,220,8,2/24,27.50,7.63,21.6,0,0,
Shahnawaz Dahani (PAK),2021-2022,11,11,35.2,1,320,8,2/37,40.00,9.05,26.5,0,0,
Shahrukh Quddus (KUW),2022-2023,8,8,29.0,0,233,8,3/14,29.12,8.03,21.7,0,0,
Sharafuddin Ashraf (AFG),2015-2023,16,14,40.0,1,296,8,3/27,37.00,7.40,30.0,0,0,
I Sharma (IND),2008-2013,14,14,46.2,0,400,8,2/34,50.00,8.63,34.7,0,0,
TAM Siriwardana (SL),2015-2017,22,13,23.0,0,206,8,2/17,25.75,8.95,17.2,0,0,
Syed Maisam Ali (PORT),2022-2023,7,6,17.1,0,112,8,4/25,14.00,6.52,12.8,1,0,
A Symonds (AUS),2005-2009,14,12,30.5,0,277,8,2/14,34.62,8.98,23.1,0,0,
