Player,Span,Matches,Innings,Balls,Runs,Wickets,BBI,Average,Economy,SR,4,5,Column 12
KA Pollard (WI),2007-2022,123,82,2275,2161,55,3/27,39.29,5.69,41.3,0,0,
Tauseef Ahmed (PAK),1982-1990,70,67,3250,2247,55,4/38,40.85,4.14,59.0,1,0,
RN ten Doeschate (NED),2006-2011,33,33,1580,1327,55,4/31,24.12,5.03,28.7,3,0,
JR Thomson (AUS),1975-1985,50,50,2696,1942,55,4/67,35.30,4.32,49.0,1,0,
A Vala (PNG),2014-2023,66,61,2388,1579,55,3/17,28.70,3.96,43.4,0,0,
Zeeshan Maqsood (OMA),2019-2023,42,42,2039,1456,55,4/15,26.47,4.28,37.0,4,0,
JV Coney (NZ),1979-1987,88,70,2931,2039,54,4/46,37.75,4.17,54.2,1,0,
MR Marsh (AUS),2011-2023,81,65,2117,1919,54,5/33,35.53,5.43,39.2,1,1,
AF Milne (NZ),2012-2023,46,45,2122,1889,54,4/34,34.98,5.34,39.2,1,0,
B Muzarabani (ZIM),2018-2023,42,42,2054,1763,54,5/49,32.64,5.14,38.0,3,1,
AR Adams (NZ),2001-2007,42,40,1885,1643,53,5/22,31.00,5.22,35.5,2,1,
SR Clark (AUS),2005-2009,39,38,1829,1477,53,4/54,27.86,4.84,34.5,2,0,
Mohammad Naveed (UAE),2014-2019,39,39,1938,1757,53,5/28,33.15,5.43,36.5,0,1,
LS Pascoe (AUS),1977-1982,29,28,1568,1066,53,5/30,20.11,4.07,29.5,4,1,
SMSM Senanayake (SL),2012-2015,49,47,2358,1874,53,4/13,35.35,4.76,44.4,1,0,
CB Sole (SCOT),2016-2023,30,30,1490,1255,53,4/27,23.67,5.05,28.1,3,0,
GI Allott (NZ),1997-2000,31,31,1528,1207,52,4/35,23.21,4.73,29.3,4,0,
SS Cottrell (WI),2015-2021,38,36,1722,1685,52,5/46,32.40,5.87,33.1,2,1,
NM Coulter-Nile (AUS),2013-2019,32,32,1678,1555,52,4/48,29.90,5.56,32.2,1,0,
KSC de Silva (SL),1996-2000,38,37,1619,1323,52,3/18,25.44,4.90,31.1,0,0,
DS Lehmann (AUS),1996-2005,117,62,1793,1445,52,4/7,27.78,4.83,34.4,1,0,
TM Moody (AUS),1987-1999,76,66,2797,2014,52,3/25,38.73,4.32,53.7,0,0,
VC Drakes (WI),1995-2004,34,34,1640,1293,51,5/33,25.35,4.73,32.1,3,2,
AM Blignaut (ZIM),1999-2010,54,53,2348,2063,50,4/43,41.26,5.27,46.9,2,0,
PVD Chameera (SL),2015-2023,44,43,1843,1658,50,5/16,33.16,5.39,36.8,1,1,
JA Morkel (Afr/SA),2004-2012,58,52,2073,1899,50,4/29,37.98,5.49,41.4,2,0,
T Thushara (SL),2008-2010,38,38,1676,1393,50,5/47,27.86,4.98,33.5,0,1,
JH Davey (SCOT),2010-2019,31,29,1301,1082,49,6/28,22.08,4.99,26.5,1,2,
JB Little (IRE),2019-2023,34,32,1643,1684,49,4/38,34.36,6.14,33.5,3,0,
CD McMillan (NZ),1997-2007,197,74,1879,1717,49,3/20,35.04,5.48,38.3,0,0,
AR Nurse (WI),2016-2019,54,49,2384,2125,49,4/51,43.36,5.34,48.6,2,0,
JS Patel (NZ),2005-2017,43,42,2014,1691,49,3/11,34.51,5.03,41.1,0,0,
GR Dilley (ENG),1979-1988,36,36,2043,1291,48,4/23,26.89,3.79,42.5,3,0,
JK Kamande (KENYA),1999-2011,86,71,2619,2169,48,4/36,45.18,4.96,54.5,1,0,
S Lee (AUS),1995-2001,45,43,1706,1245,48,5/33,25.93,4.37,35.5,1,1,
JF Mooney (IRE),2006-2015,64,50,1797,1635,48,4/27,34.06,5.45,37.4,2,0,
CH Morris (SA),2013-2019,42,40,1894,1756,48,4/31,36.58,5.56,39.4,2,0,
ARC Fraser (ENG),1989-1999,42,42,2392,1412,47,4/22,30.04,3.54,50.8,1,0,
R Ngarava (ZIM),2017-2023,39,38,1790,1605,47,4/43,34.14,5.37,38.0,1,0,
Shahadat Hossain (BAN),2006-2013,51,50,2198,2143,47,3/34,45.59,5.84,46.7,0,0,
M Amarnath (IND),1975-1989,85,64,2730,1971,46,3/12,42.84,4.33,59.3,0,0,
PW Borren (NED),2006-2014,58,51,1979,1620,46,4/32,35.21,4.91,43.0,1,0,
N Chopra (IND),1998-2000,39,37,1835,1286,46,5/21,27.95,4.20,39.8,1,1,
CJ Jordan (ENG),2013-2022,35,35,1660,1660,46,5/29,36.08,6.00,36.0,0,1,
NAM McLean (WI),1996-2003,45,45,2120,1729,46,3/21,37.58,4.89,46.0,0,0,
