Player,Span,Matches,Innings,Balls,Runs,Wickets,BBI,Average,Economy,SR,4,5,Column 12
SR Patel (ENG),2008-2013,36,32,1187,1091,24,5/41,45.45,5.51,49.4,0,1,
KR Pushpakumara (SL),1994-1999,31,31,1430,1181,24,3/25,49.20,4.95,59.5,0,0,
Yasir Shah (PAK),2011-2019,25,24,1293,1150,24,6/26,47.91,5.33,53.8,1,1,
Aizaz Cheema (PAK),2011-2012,14,14,658,593,23,4/43,25.78,5.40,28.6,2,0,
NG Cowans (ENG),1983-1985,23,23,1282,913,23,3/44,39.69,4.27,55.7,0,0,
KM Dabengwa (ZIM),2005-2010,37,35,1109,936,23,3/15,40.69,5.06,48.2,0,0,
WW Daniel (WI),1978-1984,18,18,912,595,23,3/27,25.86,3.91,39.6,0,0,
A Dutt (NED),2021-2023,27,27,1238,1075,23,3/31,46.73,5.21,53.8,0,0,
SR Gillespie (NZ),1986-1988,19,19,963,736,23,4/30,32.00,4.58,41.8,1,0,
G Goudie (SCOT),2008-2013,16,16,729,623,23,5/73,27.08,5.12,31.6,0,1,
CN Greaves (SCOT),2022-2023,23,19,560,523,23,5/53,22.73,5.60,24.3,1,1,
ND Hirwani (IND),1988-1992,18,18,960,719,23,4/43,31.26,4.49,41.7,3,0,
TG Hogan (AUS),1983-1984,16,15,917,574,23,4/33,24.95,3.75,39.8,1,0,
KAD Hurdle (BER),2006-2007,19,19,905,831,23,3/24,36.13,5.50,39.3,0,0,
Manjural Islam Rana (BAN),2003-2006,25,23,996,689,23,4/34,29.95,4.15,43.3,2,0,
S Mukuddem (BER),2006-2007,20,20,960,752,23,4/40,32.69,4.70,41.7,1,0,
CAH Stevenson (USA),2019-2022,18,17,693,642,23,3/22,27.91,5.55,30.1,0,0,
BTJ Wheal (SCOT),2016-2019,13,13,687,508,23,3/34,22.08,4.43,29.8,0,0,
Al-Amin Hossain (BAN),2014-2020,15,15,663,608,22,4/51,27.63,5.50,30.1,2,0,
DR Brown (ENG/SCOT),1997-2007,25,25,953,919,22,3/37,41.77,5.78,43.3,0,0,
DR Doshi (IND),1980-1982,15,15,792,524,22,4/30,23.81,3.96,36.0,2,0,
Ebadot Hossain (BAN),2022-2023,12,11,540,504,22,4/42,22.90,5.60,24.5,2,0,
Farhad Reza (BAN),2006-2011,34,32,1139,1017,22,5/42,46.22,5.35,51.7,0,1,
DAS Gunaratne (SL),2016-2019,31,25,834,723,22,3/10,32.86,5.20,37.9,0,0,
M Jansen (SA),2022-2023,16,16,764,834,22,5/39,37.90,6.54,34.7,0,1,
BP Julian (AUS),1993-1999,25,25,1146,997,22,3/40,45.31,5.21,52.0,0,0,
RN Lewis (WI),1997-2009,28,25,1150,983,22,3/43,44.68,5.12,52.2,0,0,
KV Morea (PNG),2021-2023,17,17,732,575,22,5/28,26.13,4.71,33.2,0,1,
ML Nkala (ZIM),1998-2006,50,46,1582,1570,22,3/12,71.36,5.95,71.9,0,0,
E Otieno (KENYA),2007-2014,26,25,954,927,22,4/33,42.13,5.83,43.3,1,0,
MW Pringle (SA),1992-1994,17,17,870,604,22,4/11,27.45,4.16,39.5,1,0,
SK Sharma (IND),1988-1990,23,22,979,813,22,5/26,36.95,4.98,44.5,0,1,
Sohag Gazi (BAN),2012-2014,20,19,919,722,22,4/29,32.81,4.71,41.7,1,0,
WF Stelling (NED),2006-2007,15,15,699,567,22,3/12,25.77,4.86,31.7,0,0,
AC Agar (AUS),2015-2023,22,22,1098,958,21,2/31,45.61,5.23,52.2,0,0,
JT Ball (ENG),2016-2018,18,18,947,980,21,5/51,46.66,6.20,45.0,0,1,
DH Brain (ZIM),1992-1995,23,23,1091,849,21,3/51,40.42,4.66,51.9,0,0,
AC Dawson (SA),1998-2004,19,19,901,715,21,4/49,34.04,4.76,42.9,1,0,
RMS Eranga (SL),2011-2016,19,17,716,686,21,3/46,32.66,5.74,34.0,0,0,
CN Evans (ZIM),1992-2002,53,34,964,848,21,3/11,40.38,5.27,45.9,0,0,
Fareed Ahmad (AFG),2014-2023,15,14,612,525,21,3/56,25.00,5.14,29.1,0,0,
Gulsan Jha (NEP),2021-2023,24,23,699,740,21,3/28,35.23,6.35,33.2,0,0,
M Hayward (SA),1998-2002,21,21,993,858,21,4/31,40.85,5.18,47.2,1,0,
VJ Kingma (NED),2014-2023,18,18,824,741,21,3/21,35.28,5.39,39.2,0,0,
NB Mahwire (ZIM),2004-2006,23,21,885,775,21,3/29,36.90,5.25,42.1,0,0,
Mohsin Kamal (PAK),1984-1989,19,19,881,760,21,4/47,36.19,5.17,41.9,1,0,
PP Ojha (IND),2008-2012,18,17,876,652,21,4/38,31.04,4.46,41.7,1,0,
AO Suji (KENYA),1996-2008,60,46,1295,1175,21,2/14,55.95,5.44,61.6,0,0,
RE van der Merwe (NED/SA),2009-2023,18,18,915,777,21,3/27,37.00,5.09,43.5,0,0,
Wasim Raja (PAK),1973-1985,54,29,1036,687,21,4/25,32.71,3.97,49.3,1,0,
MH Yardy (ENG),2006-2011,28,28,1332,1075,21,3/24,51.19,4.84,63.4,0,0,
SA Abbott (AUS),2014-2023,17,17,789,737,20,3/23,36.85,5.60,39.4,0,0,
Kabir Ali (ENG),2003-2006,14,13,673,682,20,4/45,34.10,6.08,33.6,1,0,
Aqib Ilyas (OMA),2019-2023,25,23,732,552,20,4/36,27.60,4.52,36.6,1,0,
STR Binny (IND),2014-2015,14,12,490,439,20,6/4,21.95,5.37,24.5,0,1,
DT Christian (AUS),2012-2021,20,19,727,595,20,5/31,29.75,4.91,36.3,0,1,
MG Erasmus (NAM),2019-2023,40,26,821,597,20,3/31,29.85,4.36,41.0,0,0,
DR Hadlee (NZ),1973-1976,11,11,628,364,20,4/34,18.20,3.47,31.4,1,0,
A Jadeja (IND),1992-2000,196,52,1248,1094,20,3/3,54.70,5.25,62.4,0,0,
RT Lyons (SCOT),2006-2010,25,23,1093,901,20,3/21,45.05,4.94,54.6,0,0,
N Madziva (ZIM),2014-2016,12,12,520,519,20,4/49,25.95,5.98,26.0,1,0,
JO Ngoche (KENYA),2010-2013,17,17,878,569,20,3/18,28.45,3.88,43.9,0,0,
NO Perry (WI),1999-2000,21,21,946,783,20,3/45,39.15,4.96,47.3,0,0,
Rashid Khan (PAK),1980-1985,29,28,1414,923,20,3/47,46.15,3.91,70.7,0,0,
DA Reeve (ENG),1991-1996,29,28,1147,820,20,3/20,41.00,4.28,57.3,0,0,
R Shepherd (WI),2019-2023,25,24,954,865,20,3/37,43.25,5.44,47.7,0,0,
Shoaib Mohammad (PAK),1984-1993,63,35,919,725,20,3/20,36.25,4.73,45.9,0,0,
RML Taylor (SCOT),2013-2016,15,15,713,617,20,3/39,30.85,5.19,35.6,0,0,
MHN Walker (AUS),1974-1981,17,17,1006,546,20,4/19,27.30,3.25,50.3,1,0,
DN Wellalage (SL),2022-2023,17,16,678,625,20,5/40,31.25,5.53,33.9,0,1,
GG Arnold (ENG),1972-1975,14,13,714,339,19,4/27,17.84,2.84,37.5,1,0,
RP Burl (ZIM),2017-2023,47,31,698,711,19,5/10,37.42,6.11,36.7,1,1,
TM Chappell (AUS),1980-1983,20,14,736,538,19,3/31,28.31,4.38,38.7,0,0,
Enamul Haque (BAN),1990-2002,29,28,1238,1083,19,2/40,57.00,5.24,65.1,0,0,
AW Greig (ENG),1972-1977,22,19,916,619,19,4/45,32.57,4.05,48.2,1,0,
VA Holder (WI),1973-1978,12,12,681,454,19,5/50,23.89,4.00,35.8,0,1,
IG Holland (USA),2019-2022,15,14,628,466,19,3/11,24.52,4.45,33.0,0,0,
RD Jackman (ENG),1974-1983,15,15,873,598,19,3/41,31.47,4.10,45.9,0,0,
DS Kulkarni (IND),2014-2016,12,12,598,508,19,4/34,26.73,5.09,31.4,1,0,
BJ McKechnie (NZ),1975-1981,14,14,818,495,19,3/23,26.05,3.63,43.0,0,0,
JN Maguire (AUS),1983-1984,23,20,1009,769,19,3/61,40.47,4.57,53.1,0,0,
Mohammad Akram (PAK),1995-2000,23,21,989,790,19,2/28,41.57,4.79,52.0,0,0,
Mohammad Nadeem (OMA),2019-2023,34,26,812,753,19,3/43,39.63,5.56,42.7,0,0,
Mushfiqur Rahman (BAN),2000-2004,28,28,1332,983,19,2/21,51.73,4.42,70.1,0,0,
PDRL Perera (SL),1999-2007,19,19,888,820,19,3/23,43.15,5.54,46.7,0,0,
Shahid Nazir (PAK),1996-2000,17,17,810,649,19,3/14,34.15,4.80,42.6,0,0,
M Sheikh (KENYA),1997-2000,21,21,778,625,19,4/36,32.89,4.82,40.9,1,0,
Sohail Khan (PAK),2008-2016,13,13,666,597,19,5/55,31.42,5.37,35.0,0,1,
Tanwir Afzal (HKG),2014-2018,20,19,852,601,19,3/20,31.63,4.23,44.8,0,0,
AJ Traicos (ZIM),1983-1993,27,26,1524,987,19,3/35,51.94,3.88,80.2,0,0,
PCR Tufnell (ENG),1990-1997,20,20,1020,699,19,4/22,36.78,4.11,53.6,1,0,
Anwar Ali (PAK),2013-2016,22,22,927,944,18,3/66,52.44,6.11,51.5,0,0,
GD Campbell (AUS),1989-1990,12,12,613,404,18,3/17,22.44,3.95,34.0,0,0,
RO Collinge (NZ),1973-1978,15,15,859,479,18,5/23,26.61,3.34,47.7,0,1,
MD Dai (PNG),2014-2018,18,18,954,675,18,3/58,37.50,4.24,53.0,0,0,
DR Gilbert (AUS),1986-1986,14,14,684,552,18,5/46,30.66,4.84,38.0,0,1,
JOA Gordon (CAN),2012-2023,10,10,452,393,18,6/43,21.83,5.21,25.1,0,1,
DJ Hussey (AUS),2008-2013,69,39,802,698,18,4/21,38.77,5.22,44.5,2,0,
BD Julien (WI),1973-1977,12,12,778,463,18,4/20,25.72,3.57,43.2,2,0,
AP Kuiper (SA),1991-1996,25,19,588,518,18,3/33,28.77,5.28,32.6,0,0,
Kushal Malla (NEP),2020-2023,29,23,786,604,18,2/6,33.55,4.61,43.6,0,0,
J Lewis (ENG),2005-2007,13,13,716,500,18,4/36,27.77,4.18,39.7,1,0,
CS Martin (NZ),2001-2008,20,19,948,804,18,3/62,44.66,5.08,52.6,0,0,
Mohammad Ashraful (Asia/BAN),2001-2013,177,40,697,661,18,3/26,36.72,5.69,38.7,0,0,
MV Nagamootoo (WI),2000-2002,24,24,1189,998,18,4/32,55.44,5.03,66.0,1,0,
AH Omarshah (ZIM),1983-1996,28,25,1077,812,18,3/33,45.11,4.52,59.8,0,0,
Rahat Ali (PAK),2012-2016,14,14,679,658,18,3/40,36.55,5.81,37.7,0,0,
KT Sandher (CAN),2006-2007,15,15,696,569,18,3/24,31.61,4.90,38.6,0,0,
GC Smith (Afr/SA),2002-2013,197,43,1026,951,18,3/30,52.83,5.56,57.0,0,0,
I Udana (SL),2012-2021,21,21,909,950,18,3/82,52.77,6.27,50.5,0,0,
PA van Meekeren (NED),2013-2023,15,15,672,639,18,2/28,35.50,5.70,37.3,0,0,
KC Wessels (AUS/SA),1983-1994,109,23,749,666,18,2/16,37.00,5.33,41.6,0,0,
AG Wharf (ENG),2004-2005,13,13,584,428,18,4/24,23.77,4.39,32.4,1,0,
LR Williams (WI),1996-2001,15,15,659,556,18,3/16,30.88,5.06,36.6,0,0,
Adeel Raja (NED),2002-2011,21,21,846,690,17,4/42,40.58,4.89,49.7,1,0,
DJ Capel (ENG),1987-1990,23,22,1038,805,17,3/38,47.35,4.65,61.0,0,0,
EAR de Silva (SL),1986-1992,28,28,1374,967,17,3/38,56.88,4.22,80.8,0,0,
MV Fleming (ENG),1997-1998,11,11,523,434,17,4/45,25.52,4.97,30.7,1,0,
HH Kanitkar (IND),1997-2000,34,28,1006,803,17,2/22,47.23,4.78,59.1,0,0,
JJC Lawson (WI),2001-2005,13,12,558,498,17,4/57,29.29,5.35,32.8,1,0,
Mosaddek Hossain (BAN),2016-2022,43,41,1130,969,17,3/13,57.00,5.14,66.4,0,0,
J Nyumbu (ZIM),2014-2015,19,18,844,738,17,3/42,43.41,5.24,49.6,0,0,
M Pathirana (SL),2023-2023,12,12,508,616,17,4/32,36.23,7.27,29.8,1,0,
A Shahzad (ENG),2010-2011,11,11,588,490,17,3/41,28.82,5.00,34.5,0,0,
PM Siddle (AUS),2009-2019,20,19,901,743,17,3/55,43.70,4.94,53.0,0,0,
Aizaz Khan (HKG),2014-2018,19,19,728,680,16,2/26,42.50,5.60,45.5,0,0,
Asif Iqbal (PAK),1973-1979,10,10,592,378,16,4/56,23.62,3.83,37.0,1,0,
JP Behrendorff (AUS),2019-2022,12,12,645,568,16,5/44,35.50,5.28,40.3,0,1,
SM Boland (AUS),2016-2016,14,13,716,725,16,3/67,45.31,6.07,44.7,0,0,
DL Chahar (IND),2018-2022,13,12,510,489,16,3/27,30.56,5.75,31.8,0,0,
GR Codrington (CAN),2006-2007,17,17,731,577,16,4/33,36.06,4.73,45.6,1,0,
CD de Lange (SCOT),2016-2017,13,12,546,371,16,5/60,23.18,4.07,34.1,0,1,
Ehsan Nawaz (HKG),2014-2018,12,12,513,458,16,4/47,28.62,5.35,32.0,2,0,
GJ Gilmour (AUS),1974-1975,5,5,320,165,16,6/14,10.31,3.09,20.0,0,2,
C Green (AUS),2020-2023,21,21,688,656,16,5/33,41.00,5.72,43.0,0,1,
TM Head (AUS),2016-2023,58,32,927,898,16,2/22,56.12,5.81,57.9,0,0,
PJC Hoffmann (SCOT),2006-2007,18,17,743,555,16,3/22,34.68,4.48,46.4,0,0,
SHU Karnain (SL),1984-1990,19,14,635,505,16,5/26,31.56,4.77,39.6,0,1,
Kashif Daud (UAE),2021-2022,19,19,663,482,16,3/41,30.12,4.36,41.4,0,0,
DE Malcolm (ENG),1990-1994,10,10,526,404,16,3/40,25.25,4.60,32.8,0,0,
AK Markram (SA),2017-2023,57,24,716,701,16,2/18,43.81,5.87,44.7,0,0,
S Matsikenyeri (ZIM),2002-2015,113,38,920,778,16,2/25,48.62,5.07,57.5,0,0,
JL Pattinson (AUS),2011-2015,15,15,727,681,16,4/51,42.56,5.62,45.4,1,0,
BS Sandhu (IND),1982-1984,22,21,1110,763,16,3/27,47.68,4.12,69.3,0,0,
RR Sarwan (WI),2000-2013,181,25,581,586,16,3/31,36.62,6.05,36.3,0,0,
B Shikongo (NAM),2020-2023,14,14,522,540,16,3/42,33.75,6.20,32.6,0,0,
MC Sorensen (IRE),2013-2016,13,12,543,520,16,4/40,32.50,5.74,33.9,1,0,
BM Tickner (NZ),2022-2023,13,13,623,679,16,4/50,42.43,6.53,38.9,1,0,
RJ Trott (BER),2007-2009,11,11,537,412,16,4/46,25.75,4.60,33.5,1,0,
MP Vaughan (ENG),2001-2007,86,28,796,649,16,4/22,40.56,4.89,49.7,1,0,
R Vijay Bharadwaj (IND),1999-2002,10,9,372,307,16,3/34,19.18,4.95,23.2,0,0,
Washington Sundar (IND),2017-2023,18,15,576,483,16,3/30,30.18,5.03,36.0,0,0,
Zakir Khan (PAK),1984-1990,17,16,646,494,16,4/19,30.87,4.58,40.3,1,0,
KK Ahmed (IND),2018-2019,11,11,480,465,15,3/13,31.00,5.81,32.0,0,0,
PJW Allott (ENG),1982-1985,13,13,819,552,15,3/41,36.80,4.04,54.6,0,0,
Azeem Hafeez (PAK),1983-1985,15,14,719,586,15,4/22,39.06,4.89,47.9,1,0,
S Bhari (NEP),2020-2022,11,11,422,273,15,4/5,18.20,3.88,28.1,1,0,
SL Boock (NZ),1978-1987,14,13,700,513,15,3/28,34.20,4.39,46.6,0,0,
DCC Borden (BER),2006-2008,12,12,411,392,15,4/30,26.13,5.72,27.4,1,0,
MG Bracewell (NZ),2022-2023,19,19,738,634,15,3/21,42.26,5.15,49.2,0,0,
Danish Kaneria (PAK),2001-2007,18,18,854,683,15,3/31,45.53,4.79,56.9,0,0,
G Dymock (AUS),1974-1980,15,14,806,412,15,2/21,27.46,3.06,53.7,0,0,
TCB Fernando (SL),2001-2003,17,17,700,586,15,5/67,39.06,5.02,46.6,0,1,
KD Ghavri (IND),1975-1981,19,19,1033,708,15,3/40,47.20,4.11,68.8,0,0,
NC McGarrell (WI),1998-2001,17,17,859,681,15,3/32,45.40,4.75,57.2,0,0,
KH MacLeay (AUS),1983-1987,16,16,857,626,15,6/39,41.73,4.38,57.1,0,1,
SSB Magala (SA),2021-2023,8,7,342,381,15,5/43,25.40,6.68,22.8,0,1,
Naveen-ul-Haq (AFG),2016-2023,9,9,433,418,15,4/42,27.86,5.79,28.8,1,0,
GH O'Brien (BER),2006-2008,9,9,456,405,15,3/31,27.00,5.32,30.4,0,0,
SS Pathirana (SL),2015-2017,18,18,765,720,15,3/37,48.00,5.64,51.0,0,0,
SM Patil (IND),1980-1986,45,20,864,589,15,2/28,39.26,4.09,57.6,0,0,
Rahmat Shah (AFG),2013-2023,99,28,537,520,15,5/32,34.66,5.81,35.8,0,1,
Rajin Saleh (BAN),2003-2006,43,19,539,459,15,4/16,30.60,5.10,35.9,1,0,
AK Sharma (IND),1988-1993,31,29,1140,875,15,3/41,58.33,4.60,76.0,0,0,
HB Shipley (NZ),2023-2023,8,8,387,359,15,5/31,23.93,5.56,25.8,0,1,
L Sivaramakrishnan (IND),1985-1987,16,16,756,538,15,3/35,35.86,4.26,50.4,0,0,
CT Tremlett (ENG),2005-2011,15,15,784,705,15,4/32,47.00,5.39,52.2,1,0,
JTC Vaughan (NZ),1992-1996,18,17,696,524,15,4/33,34.93,4.51,46.4,1,0,
UWMBCA Welegedara (SL),2009-2010,10,9,457,433,15,5/66,28.86,5.68,30.4,0,1,
D Wiese (NAM/SA),2015-2022,15,15,737,686,15,3/50,45.73,5.58,49.1,0,0,
LJ Wright (ENG),2007-2014,50,37,1038,884,15,2/34,58.93,5.10,69.2,0,0,
HN Ya France (NAM),2019-2023,25,24,865,661,15,2/27,44.06,4.58,57.6,0,0,
JO Angara (KENYA),1997-2003,17,15,588,569,14,3/30,40.64,5.80,42.0,0,0,
Anshuman Rath (HKG),2014-2018,18,7,337,167,14,3/22,11.92,2.97,24.0,0,0,
F Behardien (SA),2013-2018,59,35,748,719,14,3/19,51.35,5.76,53.4,0,0,
DE Bernard (WI),2003-2010,20,17,624,526,14,3/32,37.57,5.05,44.5,0,0,
GS Blewett (AUS),1995-1999,32,24,749,646,14,2/6,46.14,5.17,53.5,0,0,
BA Carse (ENG),2021-2023,12,11,496,475,14,5/61,33.92,5.74,35.4,0,1,
S Chanderpaul (WI),1994-2011,268,28,740,636,14,3/18,45.42,5.15,52.8,0,0,
G Coetzee (SA),2023-2023,7,7,339,392,14,4/50,28.00,6.93,24.2,1,0,
TLW Cooper (NED),2010-2023,32,23,649,516,14,3/11,36.85,4.77,46.3,0,0,
GJ Cosier (AUS),1975-1979,9,8,409,248,14,5/18,17.71,3.63,29.2,0,1,
JWM Dalrymple (ENG),2006-2007,27,23,840,666,14,2/5,47.57,4.75,60.0,0,0,
Enamul Haque jnr (BAN),2005-2009,10,10,576,422,14,3/16,30.14,4.39,41.1,0,0,
UC Hathurusingha (SL),1992-1999,35,25,954,709,14,4/57,50.64,4.45,68.1,1,0,
GI Hume (IRE),2022-2023,10,10,438,429,14,4/60,30.64,5.87,31.2,1,0,
Jalal-ud-Din (PAK),1982-1983,8,7,306,211,14,4/32,15.07,4.13,21.8,1,0,
KA Jamieson (NZ),2020-2023,13,12,604,511,14,3/45,36.50,5.07,43.1,0,0,
SKW Kelly (BER),2006-2009,10,10,389,371,14,3/36,26.50,5.72,27.7,0,0,
D Madushanka (SL),2023-2023,8,8,380,367,14,3/15,26.21,5.79,27.1,0,0,
S Mahmood (ENG),2020-2023,8,8,419,320,14,4/42,22.85,4.58,29.9,1,0,
KR Mayers (WI),2021-2023,28,23,686,632,14,2/30,45.14,5.52,49.0,0,0,
D Mongia (IND),2001-2007,57,21,640,571,14,3/31,40.78,5.35,45.7,0,0,
G Motie (WI),2022-2023,7,7,380,234,14,4/23,16.71,3.69,27.1,1,0,
A Neill (SCOT),2019-2023,9,9,431,342,14,3/32,24.42,4.76,30.7,0,0,
JD Nel (SCOT),2006-2010,19,19,730,649,14,4/25,46.35,5.33,52.1,1,0,
IE O'Brien (NZ),2008-2009,10,10,453,488,14,3/68,34.85,6.46,32.3,0,0,
R Ravindra (NZ),2023-2023,14,11,519,529,14,4/60,37.78,6.11,37.0,1,0,
Rumman Raees (PAK),2017-2018,9,9,463,464,14,3/49,33.14,6.01,33.0,0,0,
JA Snow (ENG),1971-1975,9,8,538,232,14,4/11,16.57,2.58,38.4,2,0,
Sohrawordi Shuvo (BAN),2010-2011,17,17,762,572,14,3/14,40.85,4.50,54.4,0,0,
SA Ankola (IND),1989-1997,20,20,807,615,13,3/33,47.30,4.57,62.0,0,0,
MP Bicknell (ENG),1990-1991,7,7,413,347,13,3/55,26.69,5.04,31.7,0,0,
KD Boyce (WI),1973-1975,8,8,470,313,13,4/50,24.07,3.99,36.1,1,0,
ST Clarke (WI),1978-1982,10,10,524,245,13,3/22,18.84,2.80,40.3,0,0,
PC Connell (IRE),2008-2010,13,12,564,518,13,3/68,39.84,5.51,43.3,0,0,
B Evans (ZIM),2022-2023,15,14,524,521,13,5/54,40.07,5.96,40.3,0,1,
K Gore (USA),2019-2021,16,16,552,406,13,4/20,31.23,4.41,42.4,1,0,
MN Hart (NZ),1994-2002,13,12,572,373,13,5/22,28.69,3.91,44.0,0,1,
RS Higgins (ZIM),2006-2006,11,11,544,380,13,4/21,29.23,4.19,41.8,1,0,
Iftikhar Ahmed (PAK),2015-2023,21,16,550,518,13,5/40,39.84,5.65,42.3,0,1,
Ijaz Faqih (PAK),1980-1988,27,25,1116,819,13,4/43,63.00,4.40,85.8,1,0,
W Madhevere (ZIM),2020-2023,36,28,806,683,13,3/36,52.53,5.08,62.0,0,0,
Majid Khan (PAK),1973-1982,23,15,658,374,13,3/27,28.76,3.41,50.6,0,0,
AD Mascarenhas (ENG),2007-2009,20,20,822,634,13,3/23,48.76,4.62,63.2,0,0,
Minhajul Abedin (BAN),1986-1999,27,18,546,511,13,2/39,39.30,5.61,42.0,0,0,
DJ Mitchell (NZ),2021-2023,31,12,282,263,13,3/25,20.23,5.59,21.6,0,0,
Mohammad Hussain (PAK),1997-1998,14,13,672,547,13,4/33,42.07,4.88,51.6,1,0,
ASA Perera (SL),1998-2001,20,18,579,522,13,2/25,40.15,5.40,44.5,0,0,
MDK Perera (SL),2007-2018,13,10,456,409,13,3/48,31.46,5.38,35.0,0,0,
DJ Reekers (NED),2006-2009,19,13,510,436,13,3/54,33.53,5.12,39.2,0,0,
JB Reva (PNG),2016-2018,9,9,405,357,13,3/40,27.46,5.28,31.1,0,0,
MJG Rippon (NED),2013-2022,9,9,402,299,13,4/37,23.00,4.46,30.9,1,0,
Sharafuddin Ashraf (AFG),2014-2022,19,19,848,605,13,3/29,46.53,4.28,65.2,0,0,
Shariz Ahmad (NED),2022-2023,11,10,388,404,13,5/43,31.07,6.24,29.8,0,1,
JN Snape (ENG),2001-2002,10,10,529,403,13,3/43,31.00,4.57,40.6,0,0,
Tareq Aziz (BAN),2002-2004,10,10,465,424,13,3/19,32.61,5.47,35.7,0,0,
S Thuraisingam (CAN),2003-2008,10,10,421,305,13,4/35,23.46,4.34,32.3,1,0,
JJ Tucker (BER),2006-2009,26,21,819,701,13,2/23,53.92,5.13,63.0,0,0,
Umran Malik (IND),2022-2023,10,9,366,399,13,3/57,30.69,6.54,28.1,0,0,
JJ van der Wath (SA),2006-2007,10,10,526,551,13,2/21,42.38,6.28,40.4,0,0,
P Willey (ENG),1977-1986,26,22,1031,659,13,3/33,50.69,3.83,79.3,0,0,
P Wilson (AUS),1997-1998,11,11,562,450,13,3/39,34.61,4.80,43.2,0,0,
Aftab Ahmed (BAN),2004-2010,85,30,739,656,12,5/31,54.66,5.32,61.5,0,1,
Ahsan Malik (NED),2011-2014,12,11,471,408,12,3/38,34.00,5.19,39.2,0,0,
M Azharuddin (IND),1985-2000,334,24,552,479,12,3/19,39.91,5.20,46.0,0,0,
WD Balaji Rao (CAN),2008-2011,10,10,474,448,12,4/57,37.33,5.67,39.5,1,0,
HR Bryan (WI),1999-1999,15,15,722,518,12,4/24,43.16,4.30,60.1,1,0,
IP Butchart (ZIM),1983-1995,20,16,702,640,12,3/57,53.33,5.47,58.5,0,0,
ADR Campbell (ZIM),1992-2003,188,30,509,434,12,2/20,36.16,5.11,42.4,0,0,
Y Cariah (WI),2022-2023,11,11,459,464,12,2/26,38.66,6.06,38.2,0,0,
PA Desai (CAN),2010-2014,13,13,612,485,12,3/35,40.41,4.75,51.0,0,0,
AB Dinda (IND),2010-2013,13,13,594,612,12,2/44,51.00,6.18,49.5,0,0,
H Durham (BER),2006-2006,9,8,400,343,12,4/45,28.58,5.14,33.3,1,0,
AM Ellis (NZ),2012-2013,15,13,480,425,12,2/22,35.41,5.31,40.0,0,0,
RM Ellison (ENG),1984-1986,14,14,696,510,12,3/42,42.50,4.39,58.0,0,0,
AM Guruge (UAE),2014-2015,7,7,351,337,12,4/56,28.08,5.76,29.2,1,0,
PA Hitchcock (NZ),2002-2008,14,12,558,468,12,3/30,39.00,5.03,46.5,0,0,
AG Hurst (AUS),1975-1979,8,7,402,203,12,5/21,16.91,3.02,33.5,0,1,
Iqbal Qasim (PAK),1977-1988,15,14,664,500,12,3/13,41.66,4.51,55.3,0,0,
Kabir Khan (PAK),1994-2000,10,9,371,303,12,2/23,25.25,4.90,30.9,0,0,
TP Kamungozi (ZIM),2006-2015,14,13,636,548,12,2/36,45.66,5.16,53.0,0,0,
Khurram Khan (UAE),2004-2015,16,11,498,432,12,4/32,36.00,5.20,41.5,1,0,
R Klein (NED),2022-2023,13,13,615,521,12,2/31,43.41,5.08,51.2,0,0,
RK Kleinveldt (SA),2013-2013,10,10,513,448,12,4/22,37.33,5.23,42.7,1,0,
CM Kuggeleijn (NZ),1988-1989,16,16,817,604,12,2/31,50.33,4.43,68.0,0,0,
GA Lamb (ZIM),2010-2011,15,15,642,467,12,3/45,38.91,4.36,53.5,0,0,
SG Law (AUS),1994-1999,54,25,807,635,12,2/22,52.91,4.72,67.2,0,0,
RJ McCurdy (AUS),1985-1985,11,11,515,375,12,3/19,31.25,4.36,42.9,0,0,
Mahedi Hasan (BAN),2021-2023,9,9,432,358,12,4/71,29.83,4.97,36.0,1,0,
DR Martyn (AUS),1992-2006,208,31,794,704,12,2/21,58.66,5.31,66.1,0,0,
SF Mire (ZIM),2014-2019,47,19,507,515,12,4/43,42.91,6.09,42.2,1,0,
Mohammad Hasnain (PAK),2019-2023,9,9,463,497,12,5/26,41.41,6.44,38.5,0,1,
Nasum Ahmed (BAN),2022-2023,12,11,580,378,12,3/19,31.50,3.91,48.3,0,0,
SO Ngoche (KENYA),2010-2014,14,13,569,431,12,2/28,35.91,4.54,47.4,0,0,
MA Parker (SCOT),2010-2010,10,10,414,327,12,4/33,27.25,4.73,34.5,1,0,
RG Petrie (NZ),1990-1991,12,12,660,449,12,2/25,37.41,4.08,55.0,0,0,
PWE Rawson (ZIM),1983-1987,10,10,571,427,12,3/47,35.58,4.48,47.5,0,0,
JD Ryder (NZ),2008-2014,48,19,407,412,12,3/29,34.33,6.07,33.9,0,0,
SR Thompson (IRE),2013-2017,20,16,559,490,12,2/17,40.83,5.25,46.5,0,0,
AJ Tye (AUS),2018-2018,7,7,387,392,12,5/46,32.66,6.07,32.2,0,1,
KEA Upashantha (SL),1995-2001,12,12,564,481,12,4/37,40.08,5.11,47.0,1,0,
T van der Gugten (NED),2012-2021,8,8,324,195,12,5/24,16.25,3.61,27.0,0,1,
RR Watson (SCOT),2006-2010,35,17,570,528,12,3/18,44.00,5.55,47.5,0,0,
CL White (AUS),2005-2018,91,19,331,351,12,3/5,29.25,6.36,27.5,0,0,
